ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2022   20  -0.14  -0.14  -1.95  -3.64  -3.93  -5.63  -6.12  -6.08  -6.41  -0.87  -0.15  -0.15
2023   20  -0.15  -0.15  -2.03  -3.80  -4.09  -5.87  -6.38  -6.34  -6.68  -0.91  -0.15  -0.15
2019   21   0.00   0.00   0.00   0.00   0.00  -1.90  -2.06  -2.05  -2.16  -0.30  -0.05  -0.05
2020   21  -0.05  -0.05  -0.66  -1.23  -1.32  -1.90  -2.06  -2.05  -2.16  -0.30  -0.05  -0.05
2021   21  -0.05  -0.05  -0.66  -1.23  -1.32  -1.89  -2.06  -2.04  -2.16  -0.29  -0.05  -0.05
2022   21  -0.05  -0.05  -0.65  -1.22  -1.32  -1.89  -2.06  -2.04  -2.16  -0.29  -0.05  -0.05
2023   21  -0.05  -0.05  -0.65  -1.22  -1.32  -1.89  -2.06  -2.04  -2.15  -0.29  -0.05  -0.05
2019   24   0.00   0.00   0.00   0.00   0.00 -16.41 -16.48 -12.57 -22.01  -6.92  -0.76  -0.93
2020   24  -0.73  -0.82  -3.99 -10.96  -6.74 -16.98 -17.05 -13.00 -22.78  -7.14  -0.77  -0.94
2021   24  -0.74  -0.83  -4.11 -11.32  -6.96 -17.54 -17.62 -13.43 -23.54  -7.37  -0.78  -0.96
2022   24  -0.75  -0.84  -4.23 -11.68  -7.17 -18.11 -18.19 -13.86 -24.30  -7.60  -0.78  -0.97
2023   24  -0.75  -0.85  -4.35 -12.04  -7.39 -18.67 -18.75 -14.29 -25.07  -7.83  -0.79  -0.99
2019   25   0.00   0.00   0.00   0.00   0.00  -4.15  -4.77  -3.19  -5.56  -1.48  -0.69  -0.70
2020   25  -0.69  -0.70  -2.26  -1.87  -1.64  -4.28  -4.92  -3.28  -5.74  -1.51  -0.70  -0.70
2021   25  -0.70  -0.70  -2.33  -1.92  -1.68  -4.41  -5.07  -3.38  -5.92  -1.55  -0.71  -0.71
2022   25  -0.71  -0.71  -2.39  -1.97  -1.72  -4.54  -5.22  -3.47  -6.10  -1.59  -0.72  -0.72
2023   25  -0.72  -0.72  -2.45  -2.02  -1.76  -4.67  -5.38  -3.57  -6.28  -1.62  -0.73  -0.73
2019   26   0.00   0.00   0.00   0.00   0.00  -3.24  -3.35  -2.40  -3.58  -0.22  -0.07  -0.06
2020   26  -0.06  -0.06  -0.24  -1.23  -1.50  -3.35  -3.47  -2.48  -3.70  -0.23  -0.07  -0.06
2021   26  -0.06  -0.06  -0.24  -1.27  -1.54  -3.47  -3.59  -2.56  -3.83  -0.23  -0.07  -0.06
2022   26  -0.06  -0.06  -0.25  -1.31  -1.59  -3.58  -3.71  -2.65  -3.95  -0.24  -0.07  -0.06
2023   26  -0.06  -0.06  -0.25  -1.35  -1.64  -3.69  -3.82  -2.73  -4.08  -0.25  -0.07  -0.06
2019   27   0.00   0.00   0.00   0.00   0.00  -0.78  -0.80  -0.57  -0.90  -0.35  -0.14  -0.01
2020   27  -0.01  -0.30  -0.41  -0.52  -0.51  -0.81  -0.83  -0.59  -0.93  -0.37  -0.14  -0.01
2021   27  -0.01  -0.31  -0.42  -0.54  -0.53  -0.83  -0.86  -0.61  -0.96  -0.38  -0.15  -0.01
2022   27  -0.01  -0.32  -0.43  -0.55  -0.55  -0.86  -0.88  -0.63  -0.99  -0.39  -0.15  -0.01
2023   27  -0.01  -0.33  -0.45  -0.57  -0.57  -0.89  -0.91  -0.65  -1.02  -0.40  -0.16  -0.01
2019   27   0.00   0.00   0.00   0.00   0.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00
2020   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00
2021   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00
2022   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00
2023   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00
2019   28   0.00   0.00   0.00   0.00   0.00  -1.81  -1.86  -1.32  -2.09  -0.86  -0.33  -0.02
2020   28  -0.02  -0.72  -0.97  -1.22  -1.21  -1.87  -1.93  -1.36  -2.16  -0.89  -0.34  -0.02
2021   28  -0.02  -0.75  -1.00  -1.26  -1.25  -1.94  -2.00  -1.41  -2.24  -0.92  -0.35  -0.02
2022   28  -0.02  -0.77  -1.04  -1.30  -1.29  -2.00  -2.06  -1.45  -2.31  -0.94  -0.36  -0.02
2023   28  -0.02  -0.80  -1.07  -1.34  -1.33  -2.06  -2.13  -1.50  -2.38  -0.97  -0.37  -0.02
2019   28   0.00   0.00   0.00   0.00   0.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00
2020   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00
2021   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00
2022   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00
2023   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00
2019   29   0.00   0.00   0.00   0.00   0.00  -3.22  -3.75  -4.13  -3.91  -1.01  -0.58  -0.59
2020   29  -0.58  -0.58  -0.94  -2.65  -2.98  -3.32  -3.88  -4.26  -4.04  -1.03  -0.59  -0.59
2021   29  -0.59  -0.59  -0.97  -2.73  -3.07  -3.42  -4.00  -4.40  -4.16  -1.06  -0.60  -0.60
2022   29  -0.60  -0.60  -0.99  -2.81  -3.16  -3.52  -4.12  -4.53  -4.29  -1.08  -0.61  -0.61
2023   29  -0.61  -0.61  -1.01  -2.89  -3.26  -3.63  -4.24  -4.67  -4.42  -1.11  -0.62  -0.62
2019   30   0.00   0.00   0.00   0.00   0.00  -6.13  -7.31  -7.86  -7.23  -1.48  -0.67  -0.67
2020   30  -0.67  -0.67  -2.15  -4.92  -5.36  -6.33  -7.55  -8.13  -7.47  -1.52  -0.67  -0.68
2021   30  -0.67  -0.67  -2.21  -5.08  -5.53  -6.53  -7.79  -8.39  -7.71  -1.55  -0.68  -0.68
2022   30  -0.68  -0.68  -2.27  -5.23  -5.69  -6.73  -8.03  -8.65  -7.95  -1.59  -0.69  -0.69
2023   30  -0.69  -0.69  -2.32  -5.38  -5.86  -6.94  -8.28  -8.91  -8.19  -1.62  -0.69  -0.70
2019   31   0.00   0.00   0.00   0.00   0.00 -16.30 -16.63 -13.65 -17.41  -6.95  -3.37  -1.78
2020   31  -1.72  -5.74  -7.34 -11.39 -11.28 -16.85 -17.19 -14.11 -18.00  -7.16  -3.46  -1.81
2021   31  -1.75  -5.90  -7.56 -11.75 -11.64 -17.40 -17.75 -14.56 -18.59  -7.38  -3.55  -1.84
2022   31  -1.78  -6.07  -7.78 -12.11 -11.99 -17.94 -18.30 -15.01 -19.17  -7.59  -3.64  -1.87
2023   31  -1.81  -6.23  -8.00 -12.47 -12.35 -18.49 -18.86 -15.46 -19.76  -7.81  -3.72  -1.90
2019   32   0.00   0.00   0.00   0.00   0.00  -4.25  -4.36  -2.95  -4.30  -0.84  -0.31  -0.30
2020   32  -0.30  -0.34  -0.39  -1.39  -3.17  -4.39  -4.51  -3.04  -4.44  -0.86  -0.31  -0.30
