NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  15 IPTER    53.33  4 2020  4 2020                                                                                                                                                                     
  15 IPTER     8.06  5 2020  5 2020                                                                                                                                                                     
  15 IPTER     8.33  6 2020  6 2020                                                                                                                                                                     
  15 IPTER     8.06  7 2020  8 2020                                                                                                                                                                     
  15 IPTER     8.33  9 2020  9 2020                                                                                                                                                                     
  15 IPTER     8.06 10 2020 10 2020                                                                                                                                                                     
  15 IPTER     9.17 11 2020 11 2020                                                                                                                                                                     
  15 IPTER    11.29 12 2020 12 2020                                                                                                                                                                     
  15 IPTER    14.52  1 2021  1 2021                                                                                                                                                                     
  15 IPTER     9.82  2 2021  2 2021                                                                                                                                                                     
  15 IPTER     5.65  3 2021  3 2021                                                                                                                                                                     
  15 IPTER     2.50  4 2021  4 2021                                                                                                                                                                     
  15 IPTER     3.23  5 2021  5 2021                                                                                                                                                                     
  15 IPTER     5.83  6 2021  6 2021                                                                                                                                                                     
  15 IPTER    10.48  7 2021  7 2021                                                                                                                                                                     
  15 IPTER     4.03  8 2021  8 2021                                                                                                                                                                     
  15 IPTER     3.33  9 2021  9 2021                                                                                                                                                                     
  15 IPTER     7.26 10 2021 10 2021                                                                                                                                                                     
  15 IPTER    20.00 11 2021 11 2021                                                                                                                                                                     
  15 IPTER     4.84 12 2021 12 2021                                                                                                                                                                     
 173 POTEF   200.00  1 2018          NORTEFLU-3                                                                                                                                                         
 173 IPTER     0.00  1 2019  3 2019                                                                                                                                                                     
 173 IPTER    16.67  4 2019  4 2019                                                                                                                                                                     
 173 IPTER     0.00  5 2019 12 2019                                                                                                                                                                     
 174 POTEF   126.78  1 2018          NORTEFLU-4                                                                                                                                                         
 174 IPTER     0.00  1 2019  3 2019                                                                                                                                                                     
 174 IPTER   100.00  4 2019  4 2019                                                                                                                                                                     
 174 IPTER     0.00  5 2019  8 2019                                                                                                                                                                     
 174 IPTER    43.33  9 2019  9 2019                                                                                                                                                                     
 174 IPTER     0.00 10 2019  2 2020                                                                                                                                                                     
 174 IPTER    41.94  3 2020  3 2020                                                                                                                                                                     
 174 IPTER     0.00  4 2020  9 2020                                                                                                                                                                     
 174 IPTER    41.94 10 2020 10 2020                                                                                                                                                                     
 174 IPTER     0.00 11 2020  2 2021                                                                                                                                                                     
 174 IPTER    80.65  3 2021  3 2021                                                                                                                                                                     
 174 IPTER     0.00  4 2021  7 2021                                                                                                                                                                     
 174 IPTER    80.65  8 2021  8 2021                                                                                                                                                                     
 174 IPTER     0.00  9 2021 12 2021                                                                                                                                                                     
 229 POTEF    50.00  9 2020          ONCA PINTADA                                                                                                                                                       
 229 GTMIN  0006.86  9 2020                                                                                                                                                                             
 182 POTEF   175.56  1 2018          PALMEIRAS GO                                                                                                                                                       
  50 POTEF   200.00  1 2018          PIRAT.12 G                                                                                                                                                         
  50 FCMAX     0.00  1 2018                                                                                                                                                                             
 230 POTEF     5.00  2 2020          PREDILECTA                                                                                                                                                         
 230 GTMIN  0000.00  2 2020                                                                                                                                                                             
   4 POTEF   436.00  1 2018          ST.CRUZ 34                                                                                                                                                         
   4 FCMAX     0.00  1 2018                                                                                                                                                                             
  86 POTEF   500.00  1 2018          ST.CRUZ NOVA                                                                                                                                                       
  86 FCMAX    70.00  1 2018  2 2018                                                                                                                                                                     
  86 FCMAX    49.68  3 2018  3 2018                                                                                                                                                                     
