NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  28 GTMIN     2.80  1 2023  1 2023
  28 GTMIN    10.86  2 2023 12 2023
  28 IPTER    74.19  1 2020  1 2020
  28 IPTER     0.00  2 2020 12 2020
  28 IPTER    74.19  1 2021  1 2021
  28 IPTER     0.00  2 2021 12 2021
  28 IPTER    74.19  1 2022  1 2022
  28 IPTER     0.00  2 2022 12 2022
  28 IPTER    74.19  1 2023  1 2023
  28 IPTER     0.00  2 2023 12 2023
  26 POTEF   100.00  6 2019 12 2023
  26 FCMAX    90.00  6 2019 12 2023
  26 GTMIN    25.00  6 2019 10 2019
  26 GTMIN     0.00 11 2019 12 2019
  26 GTMIN    30.00  1 2020  1 2020
  26 GTMIN     0.00  2 2020  3 2020
  26 GTMIN    25.00  6 2020 10 2020
  26 GTMIN     0.00 11 2020 12 2020
  26 GTMIN    30.00  1 2021  1 2021
  26 GTMIN     0.00  2 2021  3 2021
  26 GTMIN    25.00  6 2021 10 2021
  26 GTMIN     0.00 11 2021 12 2021
  26 GTMIN    30.00  1 2022  1 2022
  26 GTMIN     0.00  2 2022  3 2022
  26 GTMIN    25.00  6 2022 10 2022
  26 GTMIN    30.00  1 2023  1 2023
  26 GTMIN    25.00  6 2023 10 2023
  27 POTEF   132.00  6 2019 12 2023
  27 FCMAX    90.91  6 2019 12 2023
  27 GTMIN    64.00  6 2019 12 2019
  27 GTMIN    87.99  1 2020  1 2020
  27 GTMIN     0.00  2 2020  3 2020
  27 GTMIN    33.00  4 2020 10 2020
  27 GTMIN     0.00 11 2020 12 2020
  27 GTMIN    87.99  1 2021  1 2021
  27 GTMIN     0.00  2 2021  3 2021
  27 GTMIN    33.00  4 2021 10 2021
  27 GTMIN     0.00 11 2021 12 2021
  27 GTMIN    87.99  1 2022  1 2022
  27 GTMIN     0.00  2 2022  3 2022
  27 GTMIN    33.00  4 2022 10 2022
  27 GTMIN    87.99  1 2023  1 2023
  27 GTMIN    33.00  4 2023 10 2023
  25 POTEF   262.00  6 2019 12 2023
  25 FCMAX    91.60  6 2019 12 2023
  25 GTMIN   208.00  6 2019  8 2019
  25 GTMIN   100.00  9 2019 11 2019
  25 GTMIN   208.00 12 2019 12 2019
  25 GTMIN   169.14  1 2020  1 2020
  25 GTMIN     0.00  2 2020  3 2020
  25 GTMIN   169.14  4 2020 11 2020
  25 GTMIN   160.00 12 2020 12 2020
  25 GTMIN   169.14  1 2021  1 2021
  25 GTMIN     0.00  2 2021  3 2021
  25 GTMIN   169.14  4 2021 11 2021
  25 GTMIN   160.00 12 2021 12 2021
  25 GTMIN   169.14  1 2022  1 2022
  25 GTMIN     0.00  2 2022  3 2022
  25 GTMIN   169.14  4 2022 11 2022
  25 GTMIN   160.00 12 2022 12 2022
  25 GTMIN   169.14  1 2023  1 2023
  25 GTMIN   169.14  4 2023 11 2023
